index,quality
0,6
1,5
2,5
3,5
4,7
5,6
6,5
7,6
8,6
9,6
10,6
11,5
12,8
13,5
14,8
15,5
16,5
17,8
18,8
19,5
20,6
21,6
22,5
23,8
24,6
25,5
26,5
27,5
28,6
29,5
30,7
31,6
32,5
33,5
34,6
35,6
36,5
37,5
38,6
39,5
40,6
41,6
42,6
43,5
44,6
45,7
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,6
56,5
57,6
58,5
59,6
60,5
61,6
62,5
63,6
64,6
65,5
66,5
67,5
68,6
69,5
70,5
71,5
72,6
73,5
74,6
75,5
76,6
77,6
78,6
79,6
80,6
81,6
82,5
83,5
84,6
85,5
86,5
87,5
88,6
89,6
90,6
91,5
92,5
93,6
94,6
95,5
96,6
97,6
98,6
99,6
100,5
101,5
102,5
103,5
104,5
105,6
106,5
107,6
108,5
109,6
110,6
111,7
112,6
113,5
114,5
115,6
116,5
117,8
118,6
119,6
120,8
121,5
122,6
123,6
124,5
125,5
126,6
127,6
128,6
129,6
130,5
131,5
132,5
133,5
134,5
135,8
136,6
137,8
138,5
139,5
140,5
141,5
142,6
143,5
144,5
145,5
146,8
147,5
148,8
149,6
150,6
151,9
152,5
153,5
154,6
155,5
156,5
157,6
158,5
159,5
160,5
161,6
162,6
163,6
164,6
165,5
166,5
167,6
168,6
169,5
170,5
171,5
172,5
173,5
174,6
175,5
176,6
177,5
178,6
179,5
180,5
181,5
182,5
183,8
184,5
185,6
186,6
187,6
188,5
189,5
190,8
191,5
192,6
193,6
194,6
195,5
196,7
197,5
198,5
199,5
200,6
201,6
202,5
203,5
204,5
205,5
206,7
207,6
208,6
209,6
210,7
211,6
212,5
213,5
214,6
215,6
216,5
217,5
218,6
219,6
220,6
221,6
222,8
223,6
224,8
225,5
226,6
227,5
228,7
229,5
230,7
231,7
232,7
233,6
234,6
235,5
236,6
237,6
238,6
239,5
240,6
241,6
242,6
243,6
244,8
245,6
246,5
247,7
248,5
249,7
250,6
251,5
252,8
253,6
254,8
255,6
256,6
257,7
258,8
259,6
260,6
261,5
262,5
263,8
264,6
265,5
266,6
267,5
268,8
269,6
270,7
271,6
272,5
273,5
274,6
275,5
276,6
277,6
278,5
279,5
280,6
281,6
282,6
283,6
284,5
285,6
286,5
287,8
288,5
289,5
290,5
291,5
292,5
293,8
294,5
295,5
296,5
297,5
298,5
299,9
300,6
301,5
302,5
303,5
304,5
305,5
306,5
307,7
308,5
309,5
310,6
311,5
312,6
313,5
